,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,11.198831,-9.81978,,-0.24484396,-0.84630656,0.17560749,0.7563262
1,1,50,11.79833,228.75946,,0.046622097,-0.35743916,0.40295133,0.4345221
2,1,100,11.419153,180.75085,,0.12746191,-0.22182953,0.44246894,0.35086522
3,1,150,10.061125,138.06209,,0.1147576,-0.23906147,0.3690974,0.29948932
4,1,200,3.8015387,90.40508,,0.056580245,-0.24609911,0.276669,0.2193203
5,1,250,-6.132267,57.979572,,0.04340166,-0.10819459,0.23549682,0.18613459
6,1,300,-8.747176,38.354443,,0.029151976,-0.09448528,0.1395752,0.173078
7,1,350,-11.821277,27.99718,,0.07542825,-0.016525865,0.14136687,0.08002931
8,1,400,-7.6261854,18.945213,,0.017124653,-0.026330233,0.095749855,0.11172953
9,1,450,-5.365418,12.832959,,-0.06554356,-0.06444287,0.045156345,0.06668691
10,1,500,-4.6024857,7.3522825,0,0.006809294,-0.044304013,0.051142782,0.029576972
11,2,550,-6.570687,9.16463,,-0.013503462,-0.024052382,0.006537989,0.021833137
12,2,600,-5.3131795,5.8660965,,0.011184931,0.01991117,0.004748076,0.021047495
13,2,650,-4.5830455,5.7980833,,0.005517602,0.029455543,0.01229617,0.029859878
14,2,700,-4.8119545,4.558079,,-0.015133619,0.026591897,-0.0025079958,0.017788485
15,2,750,-3.7008197,4.4840627,,-0.0052890778,0.0049524307,0.012205265,0.00918185
16,2,800,-2.6951644,3.729651,,-0.0015317202,0.032838464,0.0056707114,0.035087407
17,2,850,-2.3617623,4.3567824,,-0.0062115192,-0.020450473,-0.0036090128,0.02552905
18,2,900,-2.692302,4.9709787,,-0.037498236,-0.022536874,0.009889036,0.00079652667
19,2,950,-1.6850368,1.0077829,,0.0074729323,0.031795382,0.0026130304,0.0003387481
20,2,1000,-1.7871045,1.8024707,1,-0.026509553,0.03793502,0.004563406,0.015127413
